model_name,queries_evaluated,queries_with_opportunity,opportunity_ratio,parse_success_rate_strict_top10,avg_raw_llm_ndcg@10_attainable,avg_raw_llm_recall@10_attainable,avg_raw_llm_hit_rate@10,avg_raw_llm_precision@10,avg_repaired_llm_ndcg@10_attainable,avg_repaired_llm_recall@10_attainable,avg_repaired_llm_hit_rate@10,avg_repaired_llm_precision@10,avg_llm_attainable_denominator@10,avg_oracle_candidate_recall_upper_bound
Base_14B,50,49,0.98,1.0,0.8409252221421446,0.9775510204081633,1.0,0.7836734693877551,0.8409252221421446,0.9775510204081633,1.0,0.7836734693877551,7.979591836734694,0.98
Pruned_10P_Aligned,50,49,0.98,0.96,0.8195261028870776,0.9724489795918368,1.0,0.7816326530612244,0.8195261028870776,0.9724489795918368,1.0,0.7816326530612244,7.979591836734694,0.98
Pruned_10P_FT_Aligned,50,49,0.98,0.98,0.8157441268582355,0.9816326530612245,1.0,0.7897959183673469,0.8170425102908672,0.9836734693877551,1.0,0.7918367346938775,7.979591836734694,0.98
Pruned_20P_Aligned,50,49,0.98,0.82,0.8126253082655519,0.9571428571428573,1.0,0.7714285714285714,0.818026540958409,0.9714285714285714,1.0,0.783673469387755,7.979591836734694,0.98
Pruned_20P_FT_Aligned,50,49,0.98,0.76,0.8216842961717303,0.9518140589569161,1.0,0.7673469387755101,0.8320713636327837,0.968140589569161,1.0,0.783673469387755,7.979591836734694,0.98
Pruned_30P_Aligned,50,49,0.98,0.66,0.8035554611636107,0.939795918367347,1.0,0.7591836734693876,0.815937005841756,0.9642857142857143,1.0,0.7816326530612244,7.979591836734694,0.98
Pruned_30P_FT_Aligned,50,49,0.98,0.4,0.7626764411324387,0.91156462585034,1.0,0.7285714285714285,0.7917797240882051,0.964625850340136,1.0,0.7795918367346938,7.979591836734694,0.98
