model_name,prompts_evaluated,avg_input_tokens,avg_generated_tokens,avg_ttft,median_ttft,p95_ttft,avg_decode_latency,median_decode_latency,p95_decode_latency,avg_end_to_end_latency,median_end_to_end_latency,p95_end_to_end_latency,avg_throughput_tokens_per_sec,median_throughput_tokens_per_sec,p95_throughput_tokens_per_sec,avg_baseline_vram_loaded_gb,avg_peak_vram_total_gb,avg_peak_vram_delta_gb,p95_peak_vram_delta_gb
Base_14B,50,610.94,38.94,0.6099546561189345,0.8546631149947643,0.8681425932009006,1.6996461076996638,0.7159173350009951,7.793865195551907,2.3096007638185982,1.5662983319853083,8.28345736590635,44.73533449085682,55.398027978019165,55.922414407164155,27.516572952270508,27.697269315719605,0.18069636344909668,0.19670870304107665
Pruned_10P_Aligned,50,610.94,30.92,0.03150232544052414,0.03140847400209168,0.033655459453439104,0.5571950440612272,0.5421645775059005,0.7061045029062369,0.5886973695017513,0.573280363008962,0.737551454417553,55.47712987793761,55.494393107328676,56.00115806500124,25.465303421020508,25.63938401222229,0.17408059120178224,0.18520743846893312
Pruned_10P_FT_Aligned,50,610.94,33.52,0.030364908059709705,0.030370827997103333,0.03169852520004497,0.6051106803593576,0.5596203364912071,0.7210665514445281,0.6354755884190673,0.59004102498875,0.7515730734434328,55.36479316869509,55.38462671205262,55.82412761557809,25.465303421020508,25.639384031295776,0.17408061027526855,0.18520743846893312
Pruned_20P_Aligned,50,610.94,37.78,0.02958043010061374,0.029246591991977766,0.032277240401890596,0.6745392841205466,0.6939502399982302,0.731959323999763,0.7041197142211604,0.722628806506691,0.7609573808105778,55.998509636360694,55.909892893393646,56.599563680963094,23.414522171020508,23.58199484825134,0.16747267723083495,0.1838829755783081
Pruned_20P_FT_Aligned,50,610.94,36.78,0.028809029840340374,0.028707607511023525,0.029828677945624806,0.6573123889806447,0.68667110750539,0.7215897447458701,0.6861214188209851,0.7150029725016793,0.7515613928975654,55.94039261094378,55.99207146805403,56.606355138368045,23.414522171020508,23.58199484825134,0.16747267723083495,0.1838829755783081
Pruned_30P_Aligned,50,610.94,37.64,0.028729937519237865,0.028558744495967403,0.030710389345767905,0.6709923838402028,0.6890286620036932,0.7160196586562961,0.6997223213594407,0.7177199900033884,0.7441759538072802,56.08748013876452,56.043923447663005,56.700797060529936,21.510225296020508,21.673044757843016,0.16281946182250975,0.17231090068817137
Pruned_30P_FT_Aligned,50,610.94,31.9,0.0279282529396005,0.027928879993851297,0.028831059393996838,0.5743273937189951,0.5749885749974055,0.7100753685452218,0.6022556466585957,0.6023931165036629,0.7386424709489802,55.51230110379745,55.5101656863248,56.01785553747752,21.510225296020508,21.67304472923279,0.16281943321228026,0.17231063842773436
